fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,14.855401039123535,0.7231075763702393,0.7697125673294067,0.6583590507507324,0.7092733979225159,0.27689242362976074,22425.95703125
1,11.571253776550293,0.769920289516449,0.8176460266113281,0.7064788937568665,0.7576872706413269,0.23007968068122864,22472.912109375
2,11.097716331481934,0.769920289516449,0.767200231552124,0.7625365257263184,0.764860212802887,0.23007968068122864,22386.6484375
3,10.976225852966309,0.7696909308433533,0.8378045558929443,0.6782466173171997,0.7493688464164734,0.23030906915664673,22374.318359375
4,11.943961143493652,0.7517447471618652,0.8025256395339966,0.6387209296226501,0.7105037569999695,0.24825525283813477,22343.130859375
