fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,9.61495590209961,0.7848605513572693,0.8563854694366455,0.6968900561332703,0.7684017419815063,0.2151394486427307,29656.318359375
1,9.93148136138916,0.7908366322517395,0.7761151790618896,0.8277685642242432,0.8011055588722229,0.2091633528470993,30236.38671875
2,8.222878456115723,0.8356573581695557,0.8409374952316284,0.8188385367393494,0.8297008275985718,0.16434262692928314,30007.703125
3,8.85283374786377,0.8155533671379089,0.7889596223831177,0.8704988360404968,0.8276411294937134,0.18444666266441345,29801.224609375
4,8.887552261352539,0.8105682730674744,0.7658363580703735,0.8684607148170471,0.8138906955718994,0.18943171203136444,29580.935546875
