fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,11.307201385498047,0.7440239191055298,0.7704360485076904,0.7122070789337158,0.7401153445243835,0.2559760808944702,181628.8125
1,9.552237510681152,0.7998008131980896,0.8301519155502319,0.7633382678031921,0.7949864864349365,0.2001992017030716,181628.84375
2,9.988093376159668,0.782868504524231,0.781930148601532,0.7729688882827759,0.7772208452224731,0.21713148057460785,181628.71875
3,13.351469039916992,0.7118644118309021,0.6906461715698242,0.7847281098365784,0.7346100211143494,0.2881355881690979,181628.8125
4,11.992499351501465,0.732801616191864,0.752949059009552,0.656501293182373,0.7011083960533142,0.2671984136104584,181628.703125
