fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,8.630885124206543,0.8207171559333801,0.775469958782196,0.9141039848327637,0.8390514850616455,0.17928287386894226,50972.1796875
1,11.139212608337402,0.7380478382110596,0.7835837006568909,0.6685101389884949,0.7214772701263428,0.2619521915912628,51454.96484375
2,7.748934745788574,0.8336653113365173,0.8252162933349609,0.8403080701828003,0.8326929211616516,0.16633465886116028,51204.5703125
3,11.342511177062988,0.7467597126960754,0.8132684826850891,0.6506361365318298,0.7228428721427917,0.25324028730392456,50898.578125
4,10.849658966064453,0.7617148756980896,0.7006833553314209,0.8747261762619019,0.7780764102935791,0.2382851392030716,50576.89453125
