fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,9.767690658569336,0.798804759979248,0.8455585241317749,0.7437306642532349,0.7913820743560791,0.20119522511959076,29705.916015625
1,8.649946212768555,0.8336653113365173,0.8453161716461182,0.8233471512794495,0.8341724276542664,0.16633465886116028,30284.904296875
2,9.473159790039062,0.7948207259178162,0.7888570427894592,0.790645182132721,0.7891940474510193,0.20517928898334503,30050.94140625
3,8.670381546020508,0.8165503740310669,0.8092509508132935,0.8373624086380005,0.822777271270752,0.1834496557712555,29847.306640625
4,9.18545913696289,0.8065802454948425,0.7833752036094666,0.8223757743835449,0.802362322807312,0.19341973960399628,29625.6328125
