fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,11.2728853225708,0.762948215007782,0.774534285068512,0.7594872117042542,0.766637921333313,0.2370517998933792,52646.91796875
1,9.959101676940918,0.8007968068122864,0.811976432800293,0.7924479246139526,0.8018227219581604,0.19920319318771362,53143.83984375
2,10.65428352355957,0.7659362554550171,0.7671353816986084,0.7530362606048584,0.7599791288375854,0.2340637445449829,52883.70703125
3,11.432879447937012,0.7347956299781799,0.7231149673461914,0.7713071703910828,0.7463759183883667,0.26520439982414246,52569.29296875
4,10.1078462600708,0.776669979095459,0.7775173187255859,0.7456403374671936,0.7611788511276245,0.22333000600337982,52239.6640625
