fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,10.032423973083496,0.788844645023346,0.812808632850647,0.7650810480117798,0.788049042224884,0.21115538477897644,16664.05859375
1,8.117568969726562,0.8346613645553589,0.841490626335144,0.8316770792007446,0.8365518450737,0.1653386503458023,17019.6015625
2,8.797968864440918,0.8147410154342651,0.7905933856964111,0.8481248617172241,0.8183311223983765,0.18525896966457367,16833.134765625
3,9.159046173095703,0.8025922179222107,0.8356755971908569,0.7622583508491516,0.7965801358222961,0.1974077820777893,16741.7734375
4,8.703619956970215,0.8225324153900146,0.8574309349060059,0.75373774766922,0.8021775484085083,0.17746759951114655,16626.625
