fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,8.18368148803711,0.8356573581695557,0.8186768889427185,0.8733855485916138,0.844742476940155,0.16434262692928314,115962.515625
1,8.53286075592041,0.8177290558815002,0.8333197832107544,0.7978622913360596,0.8146357536315918,0.18227091431617737,116524.359375
2,10.372570991516113,0.7689242959022522,0.776887834072113,0.7404332160949707,0.7573366165161133,0.2310757040977478,116205.1484375
3,9.638376235961914,0.7936191558837891,0.7766969799995422,0.8262237310409546,0.8002427816390991,0.20638085901737213,116167.8671875
4,8.354199409484863,0.8275174498558044,0.8015791177749634,0.8468140959739685,0.8232675194740295,0.17248255014419556,115840.78125
