fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,9.682638168334961,0.7878485918045044,0.7809321284294128,0.8142892122268677,0.7970569729804993,0.2121513932943344,45359.6328125
1,9.978885650634766,0.791832685470581,0.7917418479919434,0.8023699522018433,0.7968971729278564,0.20816732943058014,45935.6171875
2,12.383564949035645,0.717131495475769,0.6634432673454285,0.862424373626709,0.7498481273651123,0.28286853432655334,45721.33984375
3,11.879791259765625,0.7357926368713379,0.733923614025116,0.7520765066146851,0.7427393198013306,0.2642073631286621,45524.42578125
4,11.026650428771973,0.7597208619117737,0.7245948910713196,0.8016728758811951,0.7606350183486938,0.2402791678905487,45250.6171875
