fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,11.567652702331543,0.737051784992218,0.7230785489082336,0.7909213900566101,0.7551240921020508,0.262948215007782,181628.828125
1,9.040437698364258,0.8097609281539917,0.8571137189865112,0.7520312070846558,0.8009042739868164,0.1902390420436859,181628.84375
2,10.00802230834961,0.7878485918045044,0.7835728526115417,0.785186767578125,0.7843719124794006,0.2121513932943344,181628.71875
3,11.377921104431152,0.7487537264823914,0.7183340191841125,0.8334221243858337,0.7713786959648132,0.25124627351760864,181628.796875
4,10.815959930419922,0.7676969170570374,0.7150174379348755,0.8545477986335754,0.7785086035728455,0.23230309784412384,181628.703125
