fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,14.524517059326172,0.7350597381591797,0.6845088005065918,0.8953452110290527,0.7753986716270447,0.2649402320384979,40984.16015625
1,23.044206619262695,0.6563745141029358,0.6203063130378723,0.8374301195144653,0.7118638753890991,0.3436254858970642,41099.98046875
2,23.93433380126953,0.5926294922828674,0.7315508723258972,0.2710615396499634,0.3955545723438263,0.40737050771713257,41037.4296875
3,11.709732055664062,0.7676969170570374,0.7822536826133728,0.7501183152198792,0.7656689286231995,0.23230309784412384,41032.23046875
4,11.526060104370117,0.776669979095459,0.7803935408592224,0.7411874532699585,0.7601671814918518,0.22333000600337982,41009.609375
