fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,12.130719184875488,0.7360557913780212,0.7095540165901184,0.8207451105117798,0.758794903755188,0.26394420862197876,47526.95703125
1,16.205913543701172,0.5239043831825256,0.6439316272735596,0.13743792474269867,0.22137276828289032,0.47609561681747437,47999.9921875
2,13.581092834472656,0.7041832804679871,0.6469686031341553,0.9019126296043396,0.7489525675773621,0.29581671953201294,47805.04296875
3,9.477959632873535,0.7976071834564209,0.8671396970748901,0.7103803157806396,0.7795301675796509,0.2023928165435791,47652.49609375
4,10.19349479675293,0.776669979095459,0.7871800661087036,0.7301163673400879,0.7548220753669739,0.22333000600337982,47426.23046875
