fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,9.768088340759277,0.8017928004264832,0.8054388165473938,0.8070247173309326,0.8062123656272888,0.19820716977119446,93495.34375
1,8.884777069091797,0.8187251091003418,0.8493759632110596,0.782983660697937,0.814826250076294,0.1812749058008194,94138.6796875
2,9.982492446899414,0.7858565449714661,0.7737864255905151,0.7970470786094666,0.7850387096405029,0.21414342522621155,93816.0
3,10.84322452545166,0.7736789584159851,0.793716549873352,0.7509703040122986,0.7715493440628052,0.2263210415840149,93637.921875
4,11.108511924743652,0.7417746782302856,0.6918262839317322,0.8291316032409668,0.754035472869873,0.25822532176971436,93249.4375
