fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,9.11186695098877,0.8067728877067566,0.8329829573631287,0.7782264351844788,0.8044610619544983,0.19322709739208221,30599.126953125
1,9.497064590454102,0.7968127727508545,0.8578229546546936,0.7201520800590515,0.7829376459121704,0.2031872570514679,31216.5
2,8.796483993530273,0.8217131495475769,0.8124971985816956,0.8295206427574158,0.8204931020736694,0.1782868504524231,30944.693359375
3,9.29837417602539,0.7906281352043152,0.8047974705696106,0.7732154130935669,0.7886900901794434,0.209371879696846,30728.17578125
4,9.705790519714355,0.7896311283111572,0.7909873723983765,0.7616941928863525,0.7759298086166382,0.21036888659000397,30505.66796875
