fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,11.363170623779297,0.7420318722724915,0.7093445062637329,0.8426758646965027,0.7701801657676697,0.25796812772750854,29705.916015625
1,10.520034790039062,0.7719123363494873,0.7612916231155396,0.8045655488967896,0.7817018628120422,0.2280876487493515,30284.904296875
2,9.593364715576172,0.8027888536453247,0.7894906401634216,0.815190851688385,0.8020227551460266,0.1972111612558365,30050.943359375
3,9.380635261535645,0.8065802454948425,0.8145859241485596,0.801435649394989,0.8079047799110413,0.19341973960399628,29847.306640625
4,9.247719764709473,0.8055832386016846,0.7796627879142761,0.8263406753540039,0.8018706440925598,0.19441674649715424,29625.6328125
