fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,21.15859603881836,0.6165338754653931,0.7954056859016418,0.33976539969444275,0.47604119777679443,0.38346612453460693,58787.59375
1,9.167330741882324,0.8027888536453247,0.7817975282669067,0.8491937518119812,0.8140795230865479,0.1972111612558365,59218.64453125
2,11.871467590332031,0.7679283022880554,0.7193191051483154,0.8663825392723083,0.7860300540924072,0.23207171261310577,59044.27734375
3,9.307477951049805,0.8115652799606323,0.839405357837677,0.7785825133323669,0.807735800743103,0.1884346902370453,58899.484375
4,18.133255004882812,0.47756728529930115,0.47756728529930115,1.0,0.6464182734489441,0.5224326848983765,58724.5390625
