fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,12.118318557739258,0.7360557913780212,0.7114244699478149,0.7993569374084473,0.7505194544792175,0.26394420862197876,29656.31640625
1,9.939082145690918,0.791832685470581,0.7372082471847534,0.9172621965408325,0.8157187700271606,0.20816732943058014,30236.38671875
2,10.728631019592285,0.7719123363494873,0.7593388557434082,0.7941234111785889,0.7712050676345825,0.2280876487493515,30007.705078125
3,11.154559135437012,0.7457627058029175,0.7219123840332031,0.8154420256614685,0.7635704278945923,0.2542372941970825,29801.224609375
4,8.553569793701172,0.8265204429626465,0.8150659203529358,0.8188642859458923,0.8143059611320496,0.17347955703735352,29580.935546875
