fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,151.5428924560547,0.6653386354446411,0.7879434823989868,0.47807466983795166,0.5929857492446899,0.3346613645553589,363387.84375
1,87.86952209472656,0.75,0.9422484040260315,0.5415164232254028,0.6844168901443481,0.25,367960.65625
2,77.95945739746094,0.8057768940925598,0.7605790495872498,0.8816115856170654,0.815780758857727,0.19422310590744019,366164.625
3,144.02073669433594,0.614157497882843,0.5849640965461731,0.8273389339447021,0.6842368841171265,0.3858424723148346,364651.625
4,97.57331848144531,0.7218344807624817,0.678471028804779,0.8035324215888977,0.7329684495925903,0.2781654894351959,362497.71875
