fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,14.627504348754883,0.6543824672698975,0.6206322312355042,0.837951123714447,0.7126315236091614,0.34561753273010254,181628.890625
1,9.880355834960938,0.782868504524231,0.7335799336433411,0.8975962996482849,0.8071262240409851,0.21713148057460785,181628.765625
2,9.403401374816895,0.7978087663650513,0.8668857216835022,0.6960140466690063,0.7704671621322632,0.20219123363494873,181628.640625
3,13.825490951538086,0.6749750971794128,0.7277653217315674,0.5773290991783142,0.6436299085617065,0.32502490282058716,181628.8125
4,10.362796783447266,0.7686939239501953,0.8004263043403625,0.6838599443435669,0.736854612827301,0.2313060760498047,181628.859375
