fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,11.712756156921387,0.724103569984436,0.7807819247245789,0.6428572535514832,0.7050091624259949,0.2758964002132416,50607.71484375
1,11.545571327209473,0.7380478382110596,0.8680918216705322,0.5703256130218506,0.6882914900779724,0.2619521915912628,51082.796875
2,10.61530876159668,0.7679283022880554,0.7815132141113281,0.7324764728546143,0.7562000751495361,0.23207171261310577,50836.8828125
3,11.188481330871582,0.7597208619117737,0.7440052628517151,0.8040929436683655,0.7728046178817749,0.2402791678905487,50523.93359375
4,11.114770889282227,0.7357926368713379,0.7673079967498779,0.6408546566963196,0.6983945369720459,0.2642073631286621,50206.59375
