encoder,rmse,spike_count
sf,0.13849321612478702,43921.978676763654
pe,0.2251374266564539,29903.006177760064
be,0.22541050284994624,41032.686927062576
poisson,0.23414355159725037,45619.45575926664
bsa,0.2562383769759243,16777.075328816263
tbr,0.5722537635538746,22400.610402550818
