fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,84.43451690673828,0.607569694519043,0.7596105933189392,0.34281298518180847,0.4718959927558899,0.39243027567863464,295083.53125
1,49.92888641357422,0.7868525981903076,0.746239423751831,0.8821356296539307,0.8082895874977112,0.21314741671085358,297051.8125
2,45.87710952758789,0.8197211027145386,0.843524694442749,0.7805533409118652,0.8098616600036621,0.18027888238430023,296278.25
3,62.155155181884766,0.7168494462966919,0.8078566789627075,0.5796530842781067,0.6748213171958923,0.2831505537033081,295576.5
4,49.453338623046875,0.7876371145248413,0.8165306448936462,0.7118780016899109,0.7601044774055481,0.21236291527748108,294717.375
