fold,test_loss,test_acc,test_precision,test_recall,test_f1,test_mse,test_total_spikes
0,11.574211120605469,0.7330677509307861,0.6912108063697815,0.8659247756004333,0.7681446075439453,0.26693227887153625,40886.3671875
1,15.312748908996582,0.6503984332084656,0.6015490293502808,0.9275684356689453,0.72980135679245,0.3496015965938568,41163.609375
2,11.084392547607422,0.7519920468330383,0.8056159019470215,0.6538432240486145,0.7218271493911743,0.24800796806812286,40998.4453125
3,11.163962364196777,0.7587238550186157,0.8236972689628601,0.6684384942054749,0.7374516129493713,0.24127617478370667,40842.44140625
4,12.335832595825195,0.7248255014419556,0.715631902217865,0.7035815119743347,0.7094742059707642,0.27517446875572205,40707.34375
